parentNumber,recType,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,accnt,spdrSource,groupingCode,orderSide,clientFirm,altAccnt,altUserName,eventNumber,stageType,baseParentNumber,prevParentNumber,engineName,ticker_at,ticker_ts,ticker_tk,spdrBrokerStatus,spdrOrderStatus,spdrCloseReason,spdrRejectReason,spdrComment,marHaircutUtilized1,marHaircutUtilized2,marHaircutUtilized3,marTotalExposureUtilized1,marTotalExposureUtilized2,marTotalExposureUtilized3,bidPrc,askPrc,bidSize,askSize,uBid,uAsk,surfacePrc,surfaceVol,arriveNbboSize,arriveNbboExch,arriveCumSize,arriveNumExch,arriveLimitSize,arriveLimitPrc,avgFillPrc,cumFillQuan,numChildOrders,numDayChildOrders,openOrderSize,actionOrderSize,riskLimitSize,riskLimitDesc,riskLimitDetail,limitRefUPrc,limitPrice,limitVol,makeLimitPrice,makeLimitErr,makeLimitErrDesc,takeLimitPrice,takeLimitErr,takeLimitErrDesc,brokerState,makeState,takeState,mktCrossState,lastChildEvent,spdrMktState,numOrders,leavesQty,childOrderLeaves,arrivalSDiv,arrivalRate,arrivalDDiv,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,theoOpx,theoVol,childOrderMask,priceFormat,uPriceFormat,userName,timestamp,timestamp_us
763530925416655406,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,27,None,763530925416648015,763530925416655015,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,377.5,377.519989,400,400,0,0,0,0,5,NSDQ,5,3,0,377.6700134,376.5972254,108011,11,290,0,0,200000,SizeCap,,0,377.708739,0,377.529989,None,,377.529989,None,,Done,None,None,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,1310784,N2,None,srdemo003,"2021-01-28 08:49:12",366352
763530925416657059,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,30,None,763530925416648015,763530925416655406,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,377.75,377.7600098,200,200,0,0,0,0,2,C2,2,2,0,0,376.5972254,108011,0,290,70927,0,0,ActiveSize,,0,377.9488848,0,377.7571471,None,,377.7542774,None,,BrkrClosed,NotActive,InVld,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:50:27",878645
763530925416657066,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,33,None,763530925416648015,763530925416657059,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,377.7099915,377.75,2100,1000,0,0,0,0,10,C2,10,4,0,0,376.5972254,108011,0,293,300049,0,0,ActiveSize,"Zero Active Size",0,377.938855,0,377.7281355,None,,377.4081217,None,,AlgoNormal,NotActive,RiskHold,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:50:28",263997
763530925416657075,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,36,None,763530925416648015,763530925416657066,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,377.75,377.7799988,100,1500,0,0,0,0,15,NSDQ,15,5,0,0,376.5972254,108011,0,296,312275,-1900,0,ActiveSize,"Zero Active Size",0,377.9688738,0,377.7529137,None,,377.7499139,None,,AlgoNormal,NotActive,RiskHold,None,None,Open,1,1900,1900,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:50:28",779498
763530925416657075,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,38,None,763530925416648015,763530925416657066,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,377.7999878,377.8299866,500,1600,0,0,0,0,15,NSDQ,15,5,0,0,377.4732101,420286,741,1037,0,0,200000,SizeCap,,0,378.0188866,0,377.6785585,None,,378.0188866,None,,Done,None,None,None,ImmCxl,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,1406823,N2,None,srdemo003,"2021-01-28 08:50:41",836214
763530925416657525,Replace,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,41,None,763530925416648015,763530925416657075,EE_S7_P_G,EQT,NMS,SPY,Active,New,None,None,,0,0,0,0,0,0,377.769989,377.7900085,500,800,0,0,0,0,8,C2,8,4,0,377.7900085,377.4732101,420286,0,1037,3432,0,0,ActiveSize,,0,377.9788935,0,377.5750894,None,,377.9788935,None,,BrkrClosed,AccelTake,InVld,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,0,N2,None,srdemo003,"2021-01-28 08:51:04",812487
763530925416657525,Close,EQT,NMS,SPY,2000,0,0,0,Call,Stock,T.SRDEMO003,AutoHedgeSrvr,1055594579340693510,Buy,DEMO,,,43,None,763530925416648015,763530925416657075,EE_S7_P_G,EQT,NMS,SPY,Closed,Closed,Filled,None,,0,0,0,0,0,0,377.7099915,377.730011,100,1600,0,0,0,0,8,C2,8,4,0,377.7900085,377.4753639,423718,20,1057,0,0,200000,SizeCap,,0,377.918866,0,377.6924767,None,,377.6883509,None,,Done,None,None,None,None,Open,0,0,0,0,0,0,None,None,,1900,0,0,None,0,0,1336160,N2,None,srdemo003,"2021-01-28 08:51:10",113645
1130363189750717886,New,EQT,NMS,SPX,2021,3,19,3805,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,2,None,1130363189750717886,0,EE_S7_P_F,EQT,CBOE,SPX,Active,New,None,None,,0.00219,0,0,0,0,0,111.3999939,112.5,15,138,3780.6430664,3780.7438965,111.747,0.2262,15,CBOE,15,1,0,0,0,0,0,0,895,895,895,MinGrpVe,,3780.6933594,111.3006038,0.2254,111.7466583,None,,111.8996583,None,,AlgoNormal,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,0,PartNickle,EQT,srdemo003,"2021-01-28 08:35:53",741596
1130363189750717886,Close,EQT,NMS,SPX,2021,3,19,3805,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,4,None,1130363189750717886,0,EE_S7_P_F,EQT,CBOE,SPX,Closed,Closed,UserCxl,None,"USER CXL: (brkr): user=srdemo003, ()",0.00219,0,0,0,0,0,131.5999908,132.3999939,45,88,3822.0009766,3822.1010742,132.087,0.22588,15,CBOE,15,1,0,0,117.4857143,175,541,541,720,0,0,MinGrpVe,,3822.0510254,131.5489334,0.2254,132.0870595,None,,132.0508719,None,,Done,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,4,PartNickle,EQT,srdemo003,"2021-01-28 11:15:21",735740
1130363189750717887,New,EQT,NMS,SPX,2021,3,19,3820,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,2,None,1130363189750717887,0,EE_S7_P_F,EQT,CBOE,SPX,Active,New,None,None,,0.00219,0,0,0,0,0,102.3999939,103.5,15,199,3780.6430664,3780.7438965,102.797,0.22182,15,CBOE,15,1,0,0,0,0,0,0,899,899,899,MinGrpVe,,3780.6933594,102.2883478,0.2209,102.7972107,None,,102.8369846,None,,AlgoNormal,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,0,PartNickle,EQT,srdemo003,"2021-01-28 08:35:53",741596
1130363189750717887,Close,EQT,NMS,SPX,2021,3,19,3820,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,4,None,1130363189750717887,0,EE_S7_P_F,EQT,CBOE,SPX,Closed,Closed,UserCxl,None,"USER CXL: (brkr): user=srdemo003, ()",0.00219,0,0,0,0,0,121.7999954,122.6999969,45,119,3822.0009766,3822.1010742,122.338,0.22152,15,CBOE,15,1,0,0,105.7720207,386,587,587,513,0,0,MinGrpVe,,3822.0510254,121.7312154,0.2209,122.3382386,None,,122.3285841,None,,Done,None,None,None,ImmCxl,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,4,PartNickle,EQT,srdemo003,"2021-01-28 11:15:21",240226
1130363189750717888,New,EQT,NMS,SPX,2021,3,19,3815,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,2,None,1130363189750717888,0,EE_S7_P_F,EQT,CBOE,SPX,Active,New,None,None,,0.00219,0,0,0,0,0,105.2999954,106.5,71,159,3780.6430664,3780.7438965,105.747,0.22328,71,CBOE,71,1,0,0,0,0,0,0,897,897,898,MinGrpVe,,3780.6933594,105.2589964,0.2224,105.7473602,None,,105.9185209,None,,AlgoNormal,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,0,PartNickle,EQT,srdemo003,"2021-01-28 08:35:53",741596
1130363189750717888,Close,EQT,NMS,SPX,2021,3,19,3815,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,4,None,1130363189750717888,0,EE_S7_P_F,EQT,CBOE,SPX,Closed,Closed,UserCxl,None,"USER CXL: (brkr): user=srdemo003, ()",0.00219,0,0,0,0,0,125,125.8999939,45,58,3822.0009766,3822.1010742,125.559,0.22297,71,CBOE,71,1,0,0,109.8460432,139,527,527,758,0,0,MinGrpVe,,3822.0510254,124.9732772,0.2224,125.5588046,None,,125.5884932,None,,Done,None,None,None,ImmCxl,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,4,PartNickle,EQT,srdemo003,"2021-01-28 11:15:21",735740
1130363189750717889,New,EQT,NMS,SPX,2021,3,19,3800,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,2,None,1130363189750717889,0,EE_S7_P_F,EQT,CBOE,SPX,Active,New,None,None,,0.00219,0,0,0,0,0,114.3999939,115.5,15,203,3780.6430664,3780.7438965,114.794,0.22766,15,CBOE,15,1,0,0,0,0,0,0,895,895,895,MinGrpVe,,3780.6933594,114.258728,0.2267,114.7944641,None,,114.7684748,None,,AlgoNormal,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,0,PartNickle,EQT,srdemo003,"2021-01-28 08:35:53",741596
1130363189750717889,Close,EQT,NMS,SPX,2021,3,19,3800,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,4,None,1130363189750717889,0,EE_S7_P_F,EQT,CBOE,SPX,Closed,Closed,UserCxl,None,"USER CXL: (brkr): user=srdemo003, ()",0.00219,0,0,0,0,0,134.8999939,135.6999969,45,61,3822.0009766,3822.1010742,135.406,0.22735,15,CBOE,15,1,0,0,116.7947368,95,548,548,800,0,0,MinGrpVe,,3822.0510254,134.769246,0.2267,135.4060833,None,,135.3618381,None,,Done,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,4,PartNickle,EQT,srdemo003,"2021-01-28 11:15:21",240226
1130363189750717890,New,EQT,NMS,SPX,2021,3,19,3810,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,2,None,1130363189750717890,0,EE_S7_P_F,EQT,CBOE,SPX,Active,New,None,None,,0.00219,0,0,0,0,0,108.2999954,109.3999939,15,70,3780.6430664,3780.7438965,108.731,0.22474,15,CBOE,15,1,0,0,0,0,0,0,896,896,896,MinGrpVe,,3780.6933594,108.1517909,0.2237,108.7307311,None,,108.9434694,None,,AlgoNormal,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,0,PartNickle,EQT,srdemo003,"2021-01-28 08:35:53",741596
1130363189750717890,Close,EQT,NMS,SPX,2021,3,19,3810,Call,Option,T.SRDEMO003,SpdrTicket,1055594579340693510,Sell,DEMO,,,4,None,1130363189750717890,0,EE_S7_P_F,EQT,CBOE,SPX,Closed,Closed,UserCxl,None,"USER CXL: (brkr): user=srdemo003, ()",0.00219,0,0,0,0,0,128.3000031,129.0999908,45,38,3822.0009766,3822.1010742,128.808,0.22443,15,CBOE,15,1,0,0,114.3891089,101,555,555,795,0,0,MinGrpVe,,3822.0510254,128.1336729,0.2237,128.8076503,None,,128.7596322,None,,Done,None,None,None,None,None,0,0,0,0.01987,0.0058,0,EQT,NMS,SPY,2000,0,0,Stock,0,0,4,PartNickle,EQT,srdemo003,"2021-01-28 11:15:21",735740
