,accnt,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,spdrSource,groupingCode,orderSide,execEngineType,userName,clientFirm,parentNumber,baseParentNumber,riskGroupId,triggerGroupId,strategy,altOrderId,packageId,altAccnt,altUserName,stageType,isFlagged,ticker_at,ticker_ts,ticker_tk,uPrc,uPrcOrder,nbboBid,nbboAsk,nbboBidSz,nbboAskSz,surfacePrc,surfaceVol,orderRefSDiv,orderRefSDivType,spdrBrokerStatus,spdrOrderStatus,spdrCloseReason,spdrRejectReason,isPermanentlyClosed,numExternRiskHold,lastExternRiskText,lastExternRiskReject,lastExternRiskReject_us,spdrComment,orderSize,orderActiveSize,updateDttm,updateDttm_us,goodTillDttm,goodTillDttm_us,leavesQuantity,avgFillPrice,avgFillUPrice,cumFillQuantity,avgFillVol,cumFillVega,cumFillTheta,cumFillDDelta,lastFillDttm,lastFillDttm_us,riskLimitSize,riskLimitDesc,limitPrice,limitErr,limitErrDesc,bestLimitOffset,makeProbLimit,makeSurfOffset,makeLimitPrice,makeLimitErr,takeProbLimit,takeSurfOffset,takeLimitPrice,takeLimitErr,autoHedge,hedgeInstrument,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,hedgeTIF,externHedgeExDest,externHedgeParams,userData1,userData2,maxProgress,maxProgressDetail,maxProgressTime,maxProgressTime_us,brokerState,brokerCounter,makeState,makeCounter,takeState,takeCounter,mktRespState,mktRespCounter,mktCrossState,mktCrossCounter,progressRuleDetail,lastChildEvent,lastChildRejectDttm,lastChildRejectDttm_us,lastChildRejectText,spdrMktState,cpx1,csz1,cex1,cnt1,cpx2,csz2,cex2,cnt2,cMore,expiryKey,cnVol,cnYrs,cnUPrc,cnDe,cnDd,cnVe,cnGa,cnTh,cnPr,ddMult,priceFormat,uPriceFormat,underliersPerCn,underlierType,tickValue,pointValue,netAccDayWtVega,netAccDayDDelta,netSymDayWtVega,netSymDayDDelta,netExpDayWtVega,netGrpDayVega,netGrpDayDDelta,netGrpDayPremium,netGrpDayContracts,netGrpRMetric1,netGrpRMetric2,netGrpRMetric3,netGrpRMetric4,netGrpRMetric5,theoVol,theoPrc,numNewOrders,numParentLimits,brokerVwapMark,brokerVwapUMark,brokerQwapMark,brokerQwapUMark,vwapPnL,vwapDnPnL,uDriftVwapPnL,qwapPnL,qwapDnPnL,uDriftQwapPnL,numImprvChld,activeSeconds,withSeconds,aloneSeconds,workingSeconds,numRiskCancels,riskHoldSeconds,riskThrtlSeconds,numMakeThrottleSkips,sumMakeThrottleDelay,updateSrc,numUpdates,timestamp,timestamp_us
0,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055561182039969799,Buy,None,srdemo003,DEMO,1130363144452468678,1130363144452468678,1055561182039969799,1055561182039969799,srdemo003,,1055561182039969799,,,None,None,EQT,CBOE,SPX,3860.9279785,3858.3029785,104.8999939,105.2999954,38,25,105.145,0.18567,0.01795,Locked,Closed,Closed,Expired,None,No,0,,1900-01-01 00:00:00,0,GoodTillDttm Reached,250,-1,2021-01-26 08:53:02,648350,2021-01-26 09:53:02,648350,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1900-01-01 00:00:00,0,227,MaxGrpDD,109.0779095,None,,0.0,-1.0,0.0,105.1380293,None,-1.0,0.0,105.1380293,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Expired,2021-01-26 09:53:03,510869,Done,6425,None,11121,None,0,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18567,0.14458,3860.93,0.50274,1941.05,5.84135,0.00146,-1.38974,104.172,3860.93,PartNickle,EQT,100,Equity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034,0,103.755,3854.92,105.328,3858.61,0.0,0.0,0.0,0.0,0.0,0.0,884,3599.46,43.7542,3085.1,189797000.0,120,0.0,0.0,0,0.0,Done,894,2021-01-26 09:53:03,510869
1,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055561182039969800,Buy,None,srdemo003,DEMO,1130363144452495792,1130363144452495792,1055561182039969800,1055561182039969800,srdemo003,,1055561182039969800,,,None,None,EQT,CBOE,SPX,3849.0854492,3848.4375,99.7999954,100.4000015,76,25,100.065,0.18751,0.01783,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,500,500,2021-01-26 10:53:50,142820,2021-01-26 11:54:00,142820,0,101.0564,3850.9685776,500,0.18741,122.046,-29.4519,0.0,2021-01-26 11:47:51,430088,186,MaxGrpDD,100.4250015,None,,0.0,0.45,0.0,100.2501004,None,0.37957,0.0,100.3703158,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-26 11:47:51,584233,Done,6387,None,10573,None,184801,None,0,None,0,"TwapAlpha STEP: step=10 of 10, lag=0.00, tSize=500, tFilled=450, tExpSz=50, tTgt=500, tAct=50, tPrb=0.45, tClass=Probability, elapsed=3213.8s, dur=3570.0s, mocSz=0 [None]",None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18754,0.14376,3849.19,0.4859,1870.31,5.80453,0.00145,-1.40743,100.1,3849.19,PartNickle,EQT,100,Equity,1.0,1.0,71647.5,9353170.0,71647.5,94038100.0,71647.5,290585.0,9353170.0,5039320.0,500,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.0,0.0,382,0,101.582,3853.23,101.166,3852.14,262.709,812.114,-549.405,54.907,338.706,-283.799,365,1528.05,74.094,1329.17,57613500.0,120,0.0,0.0,0,0.0,Done,346,2021-01-26 11:47:51,584233
2,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055586195216363526,Sell,None,srdemo003,DEMO,1055586195216363527,1136625985333422024,1055586195216363526,1055586195216363526,srdemo003,,1055586195216363526,,,None,None,EQT,CBOE,SPX,3778.0549316,3798.1679688,79.0,79.7999954,105,227,79.3315,0.20952,0.01983,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,500,-1,2021-01-27 11:58:40,235605,2021-01-27 15:00:00,0,0,81.2434,3789.5487686,500,0.20419,49.4405,-13.5879,0.0,2021-01-27 13:18:31,950883,393,MinGrpDD,71.5836549,None,,0.0,-1.0,0.0,79.3385936,None,0.45,0.0,78.9301159,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-27 13:18:32,248179,Done,23837,None,33717,None,425872,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.20953,0.1396,3778.1,0.39521,1493.13,5.42491,0.0013,-1.53183,79.4,3778.1,PartNickle,EQT,100,Equity,1.0,1.0,-75091.7,-1015160.0,-75091.7,-77278800.0,-75091.7,-275025.0,-1015160.0,-4083240.0,-500,50000.0,50000.0,50000.0,50000.0,50000.0,0.0,3.51767,4052,0,80.28,3782.78,82.2318,3790.9,481.701,1818.93,-1337.23,-494.202,-760.852,266.65,4031,11672.5,131.921,10004.0,834276000.0,35,0.0,0.0,0,0.0,Done,3133,2021-01-27 13:18:32,248179
3,T.SRDEMO003,EQT,NMS,SPXW,2021,3,19,3850.0,Call,Option,SpdrTicket,1055531769768939528,Buy,None,srdemo003,DEMO,1136625940034889922,1136625940034889922,1055531769768939528,1055531769768939528,srdemo003,,1055531769768939528,,,None,None,EQT,CBOE,SPX,3848.7983398,3854.8579102,108.5999985,109.0,47,1,108.799,0.19095,0.01796,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,1000,1000,2021-01-25 09:09:42,684371,2021-01-25 13:09:52,684371,0,105.5097,3840.6406416,1000,0.19205,3533.64,-837.737,0.0,2021-01-25 12:46:00,114167,139,MaxGrpDD,109.025,None,,0.0,0.5,0.0,108.943665,None,0.45,0.0,109.0230277,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-25 12:46:00,422473,Done,27577,None,45020,None,555551,None,0,None,0,"TwapAlpha STEP: step=10 of 10, lag=0.00, tSize=1,000, tFilled=900, tExpSz=100, tTgt=1,000, tAct=100, tPrb=0.45, tClass=Probability, elapsed=12933.5s, dur=14370.0s, mocSz=0 [None]",ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.19095,0.14966,3848.8,0.5008,1927.47,5.92438,0.0014,-1.40472,108.8,3848.8,PartNickle,EQT,100,Equity,1.0,1.0,146165.0,13494700.0,146165.0,187986000.0,146165.0,592097.0,13494700.0,10400400.0,1000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,0.0,0.30107,888,0,0.0,0.0,105.86,3841.25,0.0,0.0,0.0,350.026,654.702,-304.676,527,1099.37,9.66823,772.575,117393000.0,0,0.0,0.0,0,0.0,Done,561,2021-01-25 12:46:00,422473
4,T.SRDEMO003,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,AutoHedgeSrvr,1055586195216363526,Buy,None,srdemo003,DEMO,763530902767524937,763530902767469289,1055586195216363526,0,srdemo003,,1055586195216363526,,,None,None,EQT,NMS,SPY,0.0,0.0,371.7000122,371.75,100,3700,0.0,0.0,0.0,None,Closed,Closed,Filled,None,Yes,0,,1900-01-01 00:00:00,0,,204559,204559,2021-01-27 13:18:32,191135,2021-01-27 13:18:52,191135,0,377.7677769,0.0,204559,0.0,0.0,0.0,0.0,2021-01-27 13:18:37,632407,200000,SizeCap,371.93585,None,,0.0,0.495,0.0,371.6523017,None,0.50332,0.0,371.6446813,None,None,None,None,None,,1900,0,0,None,0.0,None,None,,,,,Closed,Filled,2021-01-27 15:17:00,490632,Done,3266,None,3247,None,3350,None,0,None,0,"TwapAlpha STEP: step=2 of 2, lag=0.01, tSize=2,685, tFilled=1,342, tExpSz=1,342, tTgt=2,685, tAct=1,343, tPrb=0.90, tClass=Probability, elapsed=4.6s, dur=9.0s, mocSz=0 [None]",None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N2,None,1,Equity,0.01,1.0,-75091.7,-4041.77,0.0,77274700.0,0.0,-275025.0,-4041.77,-4083240.0,-500,50000.0,50000.0,50000.0,50000.0,50000.0,0.0,0.0,391,0,377.271,0.0,377.563,0.0,-101715.0,0.0,0.0,-41928.8,0.0,0.0,2,12.0616,0.45009,3.79992,3139150.0,0,0.0,0.0,0,0.0,PermClosed,20,2021-01-27 15:17:00,490632
