,accnt,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,spdrSource,groupingCode,orderSide,execEngineType,userName,clientFirm,parentNumber,baseParentNumber,riskGroupId,triggerGroupId,strategy,altOrderId,packageId,altAccnt,altUserName,stageType,isFlagged,ticker_at,ticker_ts,ticker_tk,uPrc,uPrcOrder,nbboBid,nbboAsk,nbboBidSz,nbboAskSz,surfacePrc,surfaceVol,orderRefSDiv,orderRefSDivType,spdrBrokerStatus,spdrOrderStatus,spdrCloseReason,spdrRejectReason,isPermanentlyClosed,numExternRiskHold,lastExternRiskText,lastExternRiskReject,lastExternRiskReject_us,spdrComment,orderSize,orderActiveSize,updateDttm,updateDttm_us,goodTillDttm,goodTillDttm_us,leavesQuantity,avgFillPrice,avgFillUPrice,cumFillQuantity,avgFillVol,cumFillVega,cumFillTheta,cumFillDDelta,lastFillDttm,lastFillDttm_us,riskLimitSize,riskLimitDesc,limitPrice,limitErr,limitErrDesc,bestLimitOffset,makeProbLimit,makeSurfOffset,makeLimitPrice,makeLimitErr,takeProbLimit,takeSurfOffset,takeLimitPrice,takeLimitErr,autoHedge,hedgeInstrument,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,hedgeTIF,externHedgeExDest,externHedgeParams,userData1,userData2,maxProgress,maxProgressDetail,maxProgressTime,maxProgressTime_us,brokerState,brokerCounter,makeState,makeCounter,takeState,takeCounter,mktRespState,mktRespCounter,mktCrossState,mktCrossCounter,progressRuleDetail,lastChildEvent,lastChildRejectDttm,lastChildRejectDttm_us,lastChildRejectText,spdrMktState,cpx1,csz1,cex1,cnt1,cpx2,csz2,cex2,cnt2,cMore,expiryKey,cnVol,cnYrs,cnUPrc,cnDe,cnDd,cnVe,cnGa,cnTh,cnPr,ddMult,priceFormat,uPriceFormat,underliersPerCn,underlierType,tickValue,pointValue,netAccDayWtVega,netAccDayDDelta,netSymDayWtVega,netSymDayDDelta,netExpDayWtVega,netGrpDayVega,netGrpDayDDelta,netGrpDayPremium,netGrpDayContracts,netGrpRMetric1,netGrpRMetric2,netGrpRMetric3,netGrpRMetric4,netGrpRMetric5,theoVol,theoPrc,numNewOrders,numParentLimits,brokerVwapMark,brokerVwapUMark,brokerQwapMark,brokerQwapUMark,vwapPnL,vwapDnPnL,uDriftVwapPnL,qwapPnL,qwapDnPnL,uDriftQwapPnL,numImprvChld,activeSeconds,withSeconds,aloneSeconds,workingSeconds,numRiskCancels,riskHoldSeconds,riskThrtlSeconds,numMakeThrottleSkips,sumMakeThrottleDelay,updateSrc,numUpdates,timestamp,timestamp_us
0,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055561182039969799,Buy,None,srdemo003,DEMO,1130363144452468678,1130363144452468678,1055561182039969799,1055561182039969799,srdemo003,,1055561182039969799,,,None,None,EQT,CBOE,SPX,3860.9279785,3858.3029785,104.8999939,105.2999954,38,25,105.145,0.18567,0.01795,Locked,Closed,Closed,Expired,None,No,0,,1900-01-01 00:00:00,0,GoodTillDttm Reached,250,-1,2021-01-26 08:53:02,648350,2021-01-26 09:53:02,648350,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1900-01-01 00:00:00,0,227,MaxGrpDD,109.0779095,None,,0.0,-1.0,0.0,105.1380293,None,-1.0,0.0,105.1380293,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Expired,2021-01-26 09:53:03,510869,Done,6425,None,11121,None,0,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18567,0.14458,3860.93,0.50274,1941.05,5.84135,0.00146,-1.38974,104.172,3860.93,PartNickle,EQT,100,Equity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1034,0,103.755,3854.92,105.328,3858.61,0.0,0.0,0.0,0.0,0.0,0.0,884,3599.46,43.7542,3085.1,189797000.0,120,0.0,0.0,0,0.0,Done,894,2021-01-26 09:53:03,510869
1,T.SRDEMO003,EQT,NMS,SPX,2021,3,19,3860.0,Call,Option,SpdrTicket,1055561182039969800,Buy,None,srdemo003,DEMO,1130363144452495792,1130363144452495792,1055561182039969800,1055561182039969800,srdemo003,,1055561182039969800,,,None,None,EQT,CBOE,SPX,3849.0854492,3848.4375,99.7999954,100.4000015,76,25,100.065,0.18751,0.01783,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,500,500,2021-01-26 10:53:50,142820,2021-01-26 11:54:00,142820,0,101.0564,3850.9685776,500,0.18741,122.046,-29.4519,0.0,2021-01-26 11:47:51,430088,186,MaxGrpDD,100.4250015,None,,0.0,0.45,0.0,100.2501004,None,0.37957,0.0,100.3703158,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-26 11:47:51,584233,Done,6387,None,10573,None,184801,None,0,None,0,"TwapAlpha STEP: step=10 of 10, lag=0.00, tSize=500, tFilled=450, tExpSz=50, tTgt=500, tAct=50, tPrb=0.45, tClass=Probability, elapsed=3213.8s, dur=3570.0s, mocSz=0 [None]",None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18754,0.14376,3849.19,0.4859,1870.31,5.80453,0.00145,-1.40743,100.1,3849.19,PartNickle,EQT,100,Equity,1.0,1.0,71647.5,9353170.0,71647.5,94038100.0,71647.5,290585.0,9353170.0,5039320.0,500,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.0,0.0,382,0,101.582,3853.23,101.166,3852.14,262.709,812.114,-549.405,54.907,338.706,-283.799,365,1528.05,74.094,1329.17,57613500.0,120,0.0,0.0,0,0.0,Done,346,2021-01-26 11:47:51,584233
2,T.SRDEMO003,EQT,NMS,SPXW,2021,2,19,3860.0,Call,Option,SpdrTicket,1055554032380477451,Sell,None,srdemo003,DEMO,756775368367154973,756775368367154973,1055554032380477451,1055554032380477451,srdemo003,,1055554032380477451,,,None,None,EQT,CBOE,SPX,3858.7260742,3859.5078125,68.0,68.6999969,5,5,68.1117,0.16293,0.01733,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,100,100,2021-01-21 14:49:50,144440,2021-01-21 15:00:00,0,0,68.117,3858.7322485,100,0.16306,229.67,-89.6284,0.0,2021-01-21 14:55:46,235278,69,MinGrpDD,67.75,None,,0.0,0.5,0.0,68.2380816,None,0.45,0.0,68.1802836,None,None,None,None,None,,1900,0,0,None,0.0,None,None,,,AUTODD=1,,Closed,Filled,2021-01-21 14:55:46,312354,Done,913,None,947,None,15001,None,0,None,0,"TwapAlpha STEP: step=1 of 1, lag=0.00, tSize=100, tFilled=0, tExpSz=100, tTgt=100, tAct=100, tPrb=0.45, tClass=Probability, elapsed=0.3s, dur=570.0s, mocSz=0 [None]",ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.16293,0.07945,3858.73,0.49696,1917.62,4.33298,0.00225,-1.6891,68.35,3858.73,PartNickle,EQT,100,Equity,1.0,1.0,-12562.9,-20005800.0,-12541.2,-19177000.0,-13132.3,-43335.5,-19177000.0,-683290.0,-100,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.48273,156,0,68.23,3858.35,68.1037,3858.37,-11.3003,7.73949,-19.0398,1.33165,19.413,-18.0813,124,354.982,9.40327,277.825,76781200.0,0,0.0,0.0,0,0.0,Done,114,2021-01-21 14:55:46,312354
3,T.SRDEMO003,EQT,NMS,SPXW,2021,3,19,3850.0,Call,Option,SpdrTicket,1055531769768939528,Buy,None,srdemo003,DEMO,1136625940034889922,1136625940034889922,1055531769768939528,1055531769768939528,srdemo003,,1055531769768939528,,,None,None,EQT,CBOE,SPX,3848.7983398,3854.8579102,108.5999985,109.0,47,1,108.799,0.19095,0.01796,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,1000,1000,2021-01-25 09:09:42,684371,2021-01-25 13:09:52,684371,0,105.5097,3840.6406416,1000,0.19205,3533.64,-837.737,0.0,2021-01-25 12:46:00,114167,139,MaxGrpDD,109.025,None,,0.0,0.5,0.0,108.943665,None,0.45,0.0,109.0230277,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-25 12:46:00,422473,Done,27577,None,45020,None,555551,None,0,None,0,"TwapAlpha STEP: step=10 of 10, lag=0.00, tSize=1,000, tFilled=900, tExpSz=100, tTgt=1,000, tAct=100, tPrb=0.45, tClass=Probability, elapsed=12933.5s, dur=14370.0s, mocSz=0 [None]",ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.19095,0.14966,3848.8,0.5008,1927.47,5.92438,0.0014,-1.40472,108.8,3848.8,PartNickle,EQT,100,Equity,1.0,1.0,146165.0,13494700.0,146165.0,187986000.0,146165.0,592097.0,13494700.0,10400400.0,1000,-100000.0,-100000.0,-100000.0,-100000.0,-100000.0,0.0,0.30107,888,0,0.0,0.0,105.86,3841.25,0.0,0.0,0.0,350.026,654.702,-304.676,527,1099.37,9.66823,772.575,117393000.0,0,0.0,0.0,0,0.0,Done,561,2021-01-25 12:46:00,422473
4,T.SRDEMO003,EQT,NMS,SPXW,2021,3,19,3850.0,Call,Option,SpdrTicket,1055582894952411145,Sell,None,srdemo003,DEMO,1055582894952411146,1136625872087341720,1055582894952411145,1055582894952411145,srdemo003,,1055582894952411145,,,None,None,EQT,CBOE,SPX,3847.6030273,3848.1420898,105.0999985,105.2999954,8,1,105.101,0.18242,0.01677,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,1000,-1,2021-01-22 12:38:05,620540,2021-01-22 15:00:00,0,0,105.3891,3848.2862344,1000,0.18235,959.399,-208.887,0.0,2021-01-22 12:45:52,28267,105,MinGrpDD,103.6379669,None,,0.0,0.5,0.0,105.2148612,None,0.35,0.0,105.0551403,None,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1.0,RiskGroup,None,,,AUTODD=1,,Closed,Filled,2021-01-22 12:45:52,270506,Done,14235,None,0,None,205356,None,0,None,0,,ImmCxl,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.18244,0.1552,3847.7,0.49839,1917.64,6.03157,0.00144,-1.31428,105.2,3847.7,PartNickle,EQT,100,Equity,1.0,1.0,-139655.0,11466500.0,-139655.0,-192120000.0,-139655.0,-603409.0,-3835060.0,-10554100.0,-1000,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,0.44069,91,0,0.0,0.0,105.363,3848.0,0.0,0.0,-0.0,26.246,170.604,-144.358,0,324.318,0.0,0.96194,9678290.0,0,0.0,0.0,0,0.0,Done,60,2021-01-22 12:45:52,270506
5,T.SRDEMO003,EQT,NMS,SPY,2000,0,0,0.0,Call,Stock,AutoHedgeSrvr,1055561182039969800,Sell,None,srdemo003,DEMO,763530880118220605,763530880118212701,1055561182039969800,0,srdemo003,,1055561182039969800,,,None,None,EQT,NMS,SPY,0.0,0.0,383.7099915,383.730011,2600,1500,0.0,0.0,0.0,None,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,244939,244939,2021-01-26 11:47:51,623745,2021-01-26 11:48:11,623745,0,383.8971754,0.0,244939,0.0,0.0,0.0,0.0,2021-01-26 11:47:59,352195,200000,SizeCap,383.5181365,None,,0.0,0.9,0.0,383.860092,None,-1.0,0.0,383.5181365,None,None,None,None,None,,1900,0,0,None,0.0,None,None,,,,,Closed,Filled,2021-01-26 11:47:59,363206,Done,14699,None,14638,None,14681,None,0,None,0,"TwapAlpha STEP: step=2 of 2, lag=0.51, tSize=24,361, tFilled=6,064, tExpSz=12,180, tTgt=24,361, tAct=18,297, tPrb=0.50, tClass=Probability, elapsed=4.5s, dur=9.0s, mocSz=0 [None]",None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N2,None,1,Equity,0.01,1.0,71647.5,5237.28,0.0,-94032800.0,0.0,290585.0,5237.28,5039320.0,500,-50000.0,-50000.0,-50000.0,-50000.0,-50000.0,0.0,0.0,833,0,383.911,0.0,383.907,0.0,-3276.69,0.0,0.0,-2491.82,0.0,0.0,11,72.8857,1.08807,15.541,8153600.0,0,0.0,0.0,0,0.0,Done,115,2021-01-26 11:47:59,363206
6,T.SRDEMO003,EQT,NMS,SPY,2021,2,19,388.0,Call,Option,SpdrTicket,1055554032380477449,Sell,None,srdemo003,DEMO,756775368367152351,756775368367152351,1055554032380477449,1055554032380477449,srdemo003,,1055554032380477449,,,None,None,EQT,NMS,SPY,384.7050171,384.7149963,5.2999997,5.3299999,148,96,5.31471,0.15613,0.00127,Locked,Closed,Closed,Filled,None,No,0,,1900-01-01 00:00:00,0,,50,-1,2021-01-21 14:28:05,926679,2021-01-21 14:28:08,926679,0,5.31,384.7050171,50,0.15602,0.4272,-0.17045,0.0,2021-01-21 14:28:05,959712,3147,MinGrpDD,5.2999999,None,,0.0,-1.0,0.0,5.2999999,None,-1.0,0.0,5.2999999,None,None,None,None,None,,1900,0,0,None,0.0,None,None,,,AUTODD=1,,Closed,Filled,2021-01-21 14:28:06,25776,Done,1,None,0,None,1,None,0,None,0,,None,1900-01-01 00:00:00,0,,Open,0.0,0,0,0,0.0,0,0,0,0,M.6-9,0.15613,0.07964,384.705,0.43436,167.101,0.4272,0.02321,-0.17045,5.315,384.705,FullPenny,EQT,100,Equity,1.0,1.0,-21.6649,-828808.0,-21.6649,-828808.0,-591.061,-2136.28,-835998.0,-26600.0,-50,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,8.4753,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,Done,0,2021-01-21 14:28:06,25776
