ticker_at,ticker_ts,ticker_tk,accnt,spdrSource,groupingCode,orderSide,execEngineType,engineName,parentNumber,baseParentNumber,altOrderId,packageId,clientFirm,altAccnt,altUserName,stageType,isFlagged,stockSide,ssaleFlag,locateQuan,locateFirm,stockShares,stockLegId,stockFillQuan,stockAvgFillPrice,refUPrc,liveUPrc,uPriceFormat,stockCpx,stockCsz,stockCex,numLegs,secKey1_at,secKey1_ts,secKey1_tk,secKey1_yr,secKey1_mn,secKey1_dy,secKey1_xx,secKey1_cp,secType1,ratio1,side1,positionType1,legId1,fillQuan1,avgFillPrice1,vega1,refUPrc1,refDelta1,refEarnCnt1,liveUPrc1,priceFormat1,legCpx1,legCsz1,legCex1,secKey2_at,secKey2_ts,secKey2_tk,secKey2_yr,secKey2_mn,secKey2_dy,secKey2_xx,secKey2_cp,secType2,ratio2,side2,positionType2,legId2,fillQuan2,avgFillPrice2,vega2,refUPrc2,refDelta2,refEarnCnt2,liveUPrc2,priceFormat2,legCpx2,legCsz2,legCex2,secKey3_at,secKey3_ts,secKey3_tk,secKey3_yr,secKey3_mn,secKey3_dy,secKey3_xx,secKey3_cp,secType3,ratio3,side3,positionType3,legId3,fillQuan3,avgFillPrice3,vega3,refUPrc3,refDelta3,refEarnCnt3,liveUPrc3,priceFormat3,legCpx3,legCsz3,legCex3,secKey4_at,secKey4_ts,secKey4_tk,secKey4_yr,secKey4_mn,secKey4_dy,secKey4_xx,secKey4_cp,secType4,ratio4,side4,positionType4,legId4,fillQuan4,avgFillPrice4,vega4,refUPrc4,refDelta4,refEarnCnt4,liveUPrc4,priceFormat4,legCpx4,legCsz4,legCex4,secKey5_at,secKey5_ts,secKey5_tk,secKey5_yr,secKey5_mn,secKey5_dy,secKey5_xx,secKey5_cp,secType5,ratio5,side5,positionType5,legId5,fillQuan5,avgFillPrice5,vega5,refUPrc5,refDelta5,refEarnCnt5,liveUPrc5,priceFormat5,legCpx5,legCsz5,legCex5,secKey6_at,secKey6_ts,secKey6_tk,secKey6_yr,secKey6_mn,secKey6_dy,secKey6_xx,secKey6_cp,secType6,ratio6,side6,positionType6,legId6,fillQuan6,avgFillPrice6,vega6,refUPrc6,refDelta6,refEarnCnt6,liveUPrc6,priceFormat6,legCpx6,legCsz6,legCex6,mlegVega,mlegWtVega,mlegDelta,mlegGamma,mlegTheta,description,orderSize,orderActiveSize,leavesQuantity,spdrOrderStatus,spdrCloseReason,spdrRejectReason,spdrCloseDetailTxt,openLegs,cumSquareQty,avgSquarePrc,cumPartialQty,fillVega,fillWtVega,fillDelta,fillDDelta,fillGamma,fillTheta,lastFillDttm,lastFillDttm_us,riskLimitSize,riskLimitDesc,maxProgress,maxProgressDetail,maxProgressTime,maxProgressTime_us,algoState,algoCounter,mktRespState,mktRespCounter,brokerState,brokerCounter,spdrMktState,spdrBrokerStatus,progressRuleDetail,lastChildRejectDttm,lastChildRejectDttm_us,lastChildRejectText,riskGroupId,triggerGroupId,hedgeGroupingCode,autoHedge,hedgeInstrument,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,externHedgeExDest,externHedgeParams,bestWayPrc,wrstWayPrc,bestWaySz,wrstWaySz,surfacePrc,surfaceVol,limitPrice,limitErr,minUBid,maxUAsk,minMaxType,leadSide,maxCompletionSlippage,orderRefPremium,strategy,userName,spdrComment,maxExposureSize,numMakeExchanges,publicSize,progressRule,progressSliceCnt,progressExposeTime,maxChildOrders,exchMask,timeInForce,startDttm,startDttm_us,orderDuration,goodTillDttm,goodTillDttm_us,parentOrderHandling,parentBalanceHandling,orderLimitType,limitClass,orderPrcLimit,orderRefUPrc,orderPrcOffset,alphaType,alphaFactor,alphaProbability,surfPrcOffset,surfVolOffset,orderRefEventMult,orderRefEventDttm,orderRefEventDttm_us,mlegProbLimit,mlegSurfOffset,externExDest,orderDttm,orderDttm_us,minSurfVol,maxSurfVol,minSurfPrc,maxSurfPrc,minSurfUPrc,maxSurfUPrc,minQteWidth,avgQteWidth,cntQteWidth,totalSeconds,workingSeconds,netAccDayWtVega,netAccDayDDelta,netSymDayWtVega,netSymDayDDelta,netGrpDayVega,netGrpDayDDelta,netGrpDayPremium,netGrpDayContracts,netGrpRMetric1,netGrpRMetric2,netGrpRMetric3,netGrpRMetric4,netGrpRMetric5,maxGrpDayDDeltaLn,maxGrpDayDDeltaSh,grpDayDDeltaRatio,maxGrpDayVegaLn,maxGrpDayVegaSh,maxGrpDayVegaAbs,grpDayVegaRatio,maxGrpDayPremiumLn,maxGrpDayPremiumSh,maxGrpDayPremiumAbs,grpDayPremiumRatio,maxGrpDayContractsLn,maxGrpDayContractsSh,maxGrpDayContractsAbs,cpx1,csz1,cex1,cpx2,csz2,cex2,cMore,numNewOrders,numParentLimits,userData1,userData2,numUpdates,timestamp,timestamp_us
EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418120,Buy,None,EE_S7_P_F,1322990324899418121,1322990324899418121,,1322990324899418121,DEMO,,,None,None,None,None,0,,0,0,0,0,0,0,None,0,0,0,2,EQT,NMS,SPX,2021,4,16,3725,Put,Option,1,Sell,Auto,1322990324899418122,1000,37.233199,0,3926.3977051,-0.223,0,3926.3249512,PartNickle,0,0,0,EQT,NMS,SPX,2021,4,16,3920,Put,Option,1,Buy,Auto,1322990324899418123,1000,85.0107985,0,3926.3977051,-0.48265,0,3926.3249512,PartNickle,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,120.814,16.0509,-25.9645,0.07769,-9.75498,"SPX APR 1x1",1000,1000,0,Closed,Filled,None,,0,1000,47.7775995,1000,120814,16050.9,-25964.5,-101947000,77.6938,-9754.98,"2021-03-12 09:44:56",135434,100000,SizeCap,Filling,CBOEOPT,"2021-03-12 09:41:01",218867,RiskHold,114492,None,0,None,0,None,Closed,,"1900-01-01 00:00:00",0,,1322990324899418120,0,1322990324899418120,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,,,46.4,47.7,133,75,47.2017,0.00279,47.8,None,-0.02,0.02,Pct,None,0,47.8,srdemo003,srdemo003,,1000,3,Randomize,Immediate,0,0,0,0,Day,"2021-03-12 09:40:59",680367,3600,"2021-03-12 10:40:59",680367,CobMaker,PostLimit,Prc,Simple,47.8,0,0,None,0,0,0,0,0,"1900-01-01 00:00:00",0,0,0,,"2021-03-12 09:40:59",680367,0.00208,0.00297,47.1533,47.9677,3923.63,3926.5,1,1.3028,14153,236.428,232.24,0,99999800,0,0,0,99999800,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,25,0,,,0,"2021-03-12 09:44:56",146445
EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418124,Buy,None,EE_S7_P_F,1322990324899418125,1322990324899418125,,1322990324899418125,DEMO,,,None,None,None,None,0,,0,0,0,0,0,0,None,0,0,0,2,EQT,NMS,SPX,2021,4,16,3725,Put,Option,1,Sell,Auto,1322990324899418126,0,0,0,3921.1630859,-0.2288,0,3919.2609863,PartNickle,0,0,0,EQT,NMS,SPX,2021,4,16,3920,Put,Option,1,Buy,Auto,1322990324899418127,0,0,0,3921.1630859,-0.49205,0,3919.2609863,PartNickle,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,115.671,9.54491,-26.3249,0.07593,-7.52769,"SPX APR 1x1",1000,1000,0,Closed,UserCxl,None,"USER CXL: (brkr): user=srdemo003, ()",0,0,0,0,0,0,0,0,0,0,"1900-01-01 00:00:00",0,100000,SizeCap,InMarket,"DONE: ","2021-03-12 09:56:08",929079,ActMaker,10716,None,0,None,0,None,Closed,,"1900-01-01 00:00:00",0,,1322990324899418124,0,1322990324899418124,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,,,48.6,49.9,71,90,49.2794,0.00134,49.25,None,-0.02,0.02,Pct,None,0,49.25,srdemo003,srdemo003,,1000,3,Randomize,Immediate,0,0,0,0,Day,"2021-03-12 09:56:08",929079,3600,"2021-03-12 10:56:08",929079,CobMaker,PostLimit,Prc,Simple,49.25,0,0,None,0,0,0,0,0,"1900-01-01 00:00:00",0,0,0,,"2021-03-12 09:56:08",929079,0.00128,0.00175,48.762,49.2794,3919.31,3921.16,1.2,1.30367,1609,22.1088,20.22,0,99999800,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,10,0,,,0,"2021-03-12 09:56:31",57476
EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418132,Buy,None,EE_S7_P_F,1322990324899418136,1322990324899418133,,1322990324899418136,DEMO,,,None,None,None,None,0,,0,0,0,0,0,0,None,0,0,0,2,EQT,NMS,SPX,2021,4,16,3725,Put,Option,1,Sell,Auto,1322990324899418134,1000,36.0189993,0,3919.0966797,-0.23092,0,3933.5463867,PartNickle,0,0,0,EQT,NMS,SPX,2021,4,16,3920,Put,Option,1,Buy,Auto,1322990324899418135,1000,83.5386986,0,3919.0966797,-0.49578,0,3933.5463867,PartNickle,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,113.748,6.15407,-26.4865,0.07566,-6.37162,"SPX APR 1x1",1000,1000,0,Closed,Filled,None,,0,1000,47.5196993,1000,113748,6154.07,-26486.5,-103803000,75.6645,-6371.62,"2021-03-12 11:37:29",178494,100000,SizeCap,Filling,CBOEOPT,"2021-03-12 10:06:31",498029,ActMaker,2707247,None,0,None,0,None,Closed,,"1900-01-01 00:00:00",0,,1322990324899418132,0,1322990324899418132,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,,,44.1,45.3,30,30,44.7973,0.00574,44.7872846,None,-0.02,0.02,Pct,None,0,50,srdemo003,srdemo003,,1000,3,Randomize,Twap,4,0,0,0,Day,"2021-03-12 10:06:30",483093,7200,"2021-03-12 12:07:30",483093,CobMaker,PostLimit,PrcDe,Surface,50,0,0,None,0,0,-0.01,0,0,"1900-01-01 00:00:00",0,0,-0.01,,"2021-03-12 10:06:30",483093,0.00005,0.0062,44.1674,50.4772,3914.9,3935.7,0.8,1.21282,335929,5591.75,260.114,0,200000000,0,0,0,99999700,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,99,0,,,0,"2021-03-12 11:37:29",189504
EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418137,Buy,None,EE_S7_P_F,1322990324899418138,1322990324899418138,,1322990324899418138,DEMO,,,None,None,None,None,0,,0,0,0,0,0,0,None,0,0,0,2,EQT,NMS,SPX,2021,4,16,3725,Put,Option,1,Sell,Auto,1322990324899418139,1000,30.7177243,0,3942.8764648,-0.19793,0,3942.1970215,PartNickle,0,0,0,EQT,NMS,SPX,2021,4,16,3920,Put,Option,1,Buy,Auto,1322990324899418140,1000,73.6528233,0,3942.8764648,-0.45108,0,3942.1970215,PartNickle,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,None,None,,1900,0,0,0,Call,None,0,None,None,0,0,0,0,0,0,0,0,None,0,0,0,141.087,44.6944,-25.3148,0.08764,-19.2532,"SPX APR 1x1",1000,1000,0,Closed,Filled,None,,0,1000,42.935099,1000,141087,44694.4,-25314.8,-99813300,87.6426,-19253.2,"2021-03-12 14:45:05",247180,100000,SizeCap,Filling,CBOEOPT,"2021-03-12 14:39:39",42194,ActMaker,158663,None,0,None,0,None,Closed,,"1900-01-01 00:00:00",0,,1322990324899418137,0,1322990324899418137,SpdrAuto,Default,EQT,NMS,SPY,2000,0,0,Stock,1,RiskGroup,,,42,43.1,71,135,42.5792,0.00831,42.5791993,None,-0.02,0.02,Pct,None,0,44,srdemo003,srdemo003,,1000,3,Randomize,Immediate,0,0,0,0,Day,"2021-03-12 14:39:36",608822,7200,"2021-03-12 15:00:00",0,CobMaker,PostLimit,PrcDe,Surface,44,0,0,None,0,0,0,0,0,"1900-01-01 00:00:00",0,0,0,,"2021-03-12 14:39:36",608822,0.00799,0.00883,42.0671,42.7991,3941.23,3943.78,0.8,1.10201,11022,328.635,325.484,0,299676000,0,0,0,99676800,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0,30,0,,,0,"2021-03-12 14:45:05",269201
