parentNumber,recType,ticker_at,ticker_ts,ticker_tk,accnt,spdrSource,groupingCode,orderSide,clientFirm,altAccnt,altUserName,eventNumber,stageType,baseParentNumber,prevParentNumber,engineName,spdrBrokerStatus,spdrOrderStatus,spdrCloseReason,spdrRejectReason,spdrComment,marHaircutUtilized1,marHaircutUtilized2,marHaircutUtilized3,marTotalExposureUtilized1,marTotalExposureUtilized2,marTotalExposureUtilized3,cumSquareQty,avgSquarePrc,cumPartialQty,uBid,uAsk,bidPrc,askPrc,bidSize,askSize,openOrderSize,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,riskLimitSize,riskLimitDesc,riskLimitDetail,limitPrice,limitErr,limitErrDesc,algoState,algoCounter,brokerState,spdrMktState,childOrderMask,numChildOrders,numDayChildOrders,userName,timestamp,timestamp_us
1322990324899418121,New,EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418120,Buy,DEMO,,,0,None,0,0,EE_S7_P_F,Active,New,None,None,,0,0,0,0,0,0,0,0,0,3926.2980957,3926.4980469,46.5,47.7,100,60,0,EQT,NMS,SPY,2000,0,0,Stock,0,None,,47.8,None,,None,0,None,None,0,0,0,srdemo003,"2021-03-12 09:40:59",680367
1322990324899418125,New,EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418124,Buy,DEMO,,,0,None,0,0,EE_S7_P_F,Active,New,None,None,,0,0,0,0,0,0,0,0,0,3921.1130371,3921.2128906,48,49.4,164,185,0,EQT,NMS,SPY,2000,0,0,Stock,0,None,,49.25,None,,None,0,None,None,0,0,0,srdemo003,"2021-03-12 09:56:08",929079
1322990324899418133,New,EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418132,Buy,DEMO,,,0,None,0,0,EE_S7_P_F,Active,New,None,None,,0,0,0,0,0,0,0,0,0,3917.4929199,3917.6940918,48.9,50.4,30,119,0,EQT,NMS,SPY,2000,0,0,Stock,0,None,,49.9999351,None,,None,0,None,None,0,0,0,srdemo003,"2021-03-12 10:04:18",593304
1322990324899418136,Replace,EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418132,Buy,DEMO,,,0,None,0,0,EE_S7_P_F,Updating,PendNew,None,None,,0,0,0,0,0,0,0,0,0,3918.9960938,3919.0969238,48.5,49.9,30,165,0,EQT,NMS,SPY,2000,0,0,Stock,100000,SizeCap,,50.0133208,None,,ActMaker,63524,None,None,4,82,82,srdemo003,"2021-03-12 10:06:30",483093
1322990324899418138,New,EQT,CBOE,SPX,T.SRDEMO003,SpdrTicket,1322990324899418137,Buy,DEMO,,,0,None,0,0,EE_S7_P_F,Active,New,None,None,,0,0,0,0,0,0,0,0,0,3942.8759766,3942.9770508,41.8,42.8,45,2,0,EQT,NMS,SPY,2000,0,0,Stock,0,None,,43.9873302,None,,None,0,None,None,0,0,0,srdemo003,"2021-03-12 14:39:36",608822
