fillNumber,version,execEngineType,sysEnvironment,runStatus,dataCenter,execStatus,execShape,packageId,parentNumber,parentVersion,baseParentNumber,clOrdId,reviewClOrdId,altFillId,altOrderId,altCrossId,altLegRefId,altAccnt,altUserName,srcRoutingCode,riskGroupId,triggerGroupId,triggerTimestamp,streetClOrdId,streetOrderId,faceSide,faceShape,parentShape,secKey_at,secKey_ts,secKey_tk,secKey_yr,secKey_mn,secKey_dy,secKey_xx,secKey_cp,secType,ticker_at,ticker_ts,ticker_tk,accnt,clientFirm,spdrSource,groupingCode,routingCode,engineName,gatewayName,execRole,execBrokerMPID,execBrokerAccnt,execBrokerClFirm,execUsername,clearingFlipType,clearingFlipFirm,clearingFlipAccnt,clearingFirm,clearingAccnt,origExecID,lastExecID,remoteText,orderSide,spdrOrderStatus,spdrCloseReason,cumFillQuantity,avgFillPrice,cumLegFillQuantity,avgLegFillPrice,leavesQty,priceType,childShape,childSize,childPrice,childDttm,childDttm_us,childExch,childExDest,childExecBroker,childIsDirected,childIsoSweep,childOrderHandling,childAlgoHandler,childCreateReason,childCancelReason,childMakerTaker,childUBid,childUAsk,childBid,childAsk,childMark,childVol,childProb,childLimitRefUPrc,childLimitPrc,childVolAtm,childPosType,childFirmOptPosition,childSSaleFlag,childFirmStkPosition,childFirmOpenOrders,childLocateQuan,childLocateFirm,childLocatePool,childLocateSource,childMktStance,childCxlAttempted,childCxlFillLatency,childMethod,childSource,firmType,priAggGroup,secAggGroup,fillTransactDttm,fillTransactDttm_us,fillTs,fillDttm,fillDttm_us,fillExch,fillExecId,fillExecRefId,fillLegRefId,fillLegRatio,fillExchFee,fillMarket,fillPrice,fillQuantity,fillReportDetail,fillBid,fillAsk,fillMark,fillUMark,fillUBid,fillUAsk,fillUBidSz,fillUAskSz,fillVolAtm,fillMark1M,fillMark10M,fillBid1M,fillAsk1M,fillBid10M,fillAsk10M,fillUMark1M,fillUMark10M,fillVolAtm1M,fillVolAtm10M,fillState1M,fillState10M,fillVol,fillProb,fillLimitRefUPrc,fillLimitRefSDiv,fillLimitPrc,fillVe,fillGa,fillDe,fillTh,fillPr,fillVeRatio,fillBeta,fillRiskMetric1,fillRiskMetric2,fillRiskMetric3,fillRiskMetric4,fillRiskMetric5,fillS08Dn,fillS06Up,fillS15Dn,fillS15Up,fillS50Dn,fillS50Up,fillBrkrRate,fillRoutingRate,riskCode,billingSecType,billingCategory,spdrLiquidityTag,exchLiquidityTag,fillExchDetail,lastCapacity,exchFirmType,extExecBroker,relationshipType,clArriveMark,parentDttm,parentDttm_us,parentOrderSize,parentUBid,parentUAsk,parentUMark,parentBid,parentAsk,parentMark,parentLimitVol,parentLimitPrc,parentLimitRefUPrc,parentTheoVol,parentTheoPrc,parentPosType,parentSSaleFlag,crossID,noticePrc,numMakeExchanges,publicSize,canOverlapCxlRepl,progressRule,exchMaskEnabled,timeInForce,parentOrderHandling,parentBalanceHandling,orderLimitType,orderLimitClass,takeReachRule,overrideCode,alphaType,parentStrategy,userName,autoHedge,hedgeSecKey_at,hedgeSecKey_ts,hedgeSecKey_tk,hedgeSecKey_yr,hedgeSecKey_mn,hedgeSecKey_dy,hedgeSecType,hedgeBetaRatio,hedgeScope,userData1,userData2,years,underliersPerCn,underlierType,tickValue,pointValue,minTickSize,priceFormat,uPriceFormat,liveUPrc,liveMark,srcTimestamp,sgwTimestamp,engTimestamp,timestamp,timestamp_us
798715161480217735,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480216988,,0,,,,,,,1055557743596388357,0,0,,B159B3524BF419E,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524BF4486,"[fill]: SIM/quote taker",Buy,New,None,300,383.08,0,0,39700,None,Single,400,383.08,"2021-01-22 09:10:34",431657,MEMX,MEMXSTK,,No,None,PostLimit,ActiveMaker,MakePostLimit,None,Maker,0,0,383.0799866,383.0899963,0,0,0.53183,0,383.0959167,0,None,0,Cover,-2124,0,0,,DEMO,,ExchImpr,None,0,maker,post/new/lm,Customer,T.SRDEMO003,,"2021-01-22 09:10:34",770995,3933289.3688049,"2021-01-22 09:10:34",770995,MEMXSTK,B159B3524BF4486,,0,0,-0.0029,MEMXSTK,383.08,300,,383.0700073,383.0799866,383.0799866,0,383.0700073,383.0799866,6600,300,0,383.0299988,382.8269958,383.019989,383.0299988,382.8200073,382.8299866,383.0299988,382.8269958,0,0,OK,OK,0,0.54421,0,0,383.0899963,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328234776746700,"2021-01-22 09:20:34",835411
798715161480220327,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480220067,,0,,,,,,,1055557743596388357,0,0,,B159B3524BF4DA5,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524BF4EA4,"[fill]: SIM/quote taker",Buy,New,None,400,383.07,0,0,39600,None,Single,100,383.04,"2021-01-22 09:10:37",757911,MEMX,MEMXSTK,,No,None,PostLimit,ActiveMaker,MakePostLimit,None,Maker,0,0,383.0400085,383.0599976,0,0,0.51466,0,383.0423889,0,None,0,Cover,-1824,0,0,,DEMO,,NbboJoin,None,0,maker,post/new/lm,Customer,T.SRDEMO003,,"2021-01-22 09:10:38",139,3933292.5971302,"2021-01-22 09:10:38",139,MEMXSTK,B159B3524BF4EA4,,0,0,-0.0029,MEMXSTK,383.04,100,,383.0299988,383.0499878,383.0299988,0,383.0299988,383.0499878,4900,2200,0,383,382.84021,382.980011,382.9899902,382.8399963,382.8500061,383,382.84021,0,0,OK,OK,0,0.59161,0,0,383.0621338,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328238005101100,"2021-01-22 09:20:38",34442
798715161480241589,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480241570,,0,,,,,,,1055557743596388357,0,0,,B159B3524BFA1B1,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524BFA1B4,"[fill]: SIM/quote taker",Buy,New,None,600,383.0333333,0,0,39400,None,Single,200,382.9599915,"2021-01-22 09:11:11",570712,EDGX,EDGXSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,382.9400024,382.9599915,0,0,0.51153,0,382.9620056,0,None,0,Cover,-1724,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"2021-01-22 09:11:11",570712,3933326.1700833,"2021-01-22 09:11:11",570712,EDGXSTK,B159B3524BFA1B4,,0,0,0.0027,EDGXSTK,382.96,200,,382.9400024,382.9599915,382.9500122,0,382.9400024,382.9599915,3400,2900,0,382.9700012,382.9299927,382.9599915,382.9700012,382.9299927,382.9400024,382.9700012,382.9299927,0,0,OK,OK,0,0.5115,0,0,382.9620056,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328271578450100,"2021-01-22 09:21:11",585080
798715161480241595,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480241574,,0,,,,,,,1055557743596388357,0,0,,B159B3524BFA1B7,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524BFA1BA,"[fill]: SIM/quote taker",Buy,New,None,700,383.0228571,0,0,39300,None,Single,100,382.9599915,"2021-01-22 09:11:11",570712,MEMX,MEMXSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,382.9400024,382.9599915,0,0,0.51153,0,382.9620056,0,None,0,Cover,-1724,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"2021-01-22 09:11:11",570712,3933326.170858,"2021-01-22 09:11:11",570712,MEMXSTK,B159B3524BFA1BA,,0,0,0.0025,MEMXSTK,382.96,100,,382.9400024,382.9599915,382.9500122,0,382.9400024,382.9599915,3500,2900,0,382.9700012,382.9299927,382.9599915,382.9700012,382.9299927,382.9400024,382.9700012,382.9299927,0,0,OK,OK,0,0.53372,0,0,382.9700012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328271579234100,"2021-01-22 09:21:11",585080
798715161480241601,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480241578,,0,,,,,,,1055557743596388357,0,0,,B159B3524BFA1BD,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524BFA1C0,"[fill]: SIM/quote taker",Buy,New,None,800,383.015,0,0,39200,None,Single,100,382.9599915,"2021-01-22 09:11:11",570712,BTSY,BTSYSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,382.9400024,382.9599915,0,0,0.51153,0,382.9620056,0,None,0,Cover,-1724,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"2021-01-22 09:11:11",570712,3933326.1714893,"2021-01-22 09:11:11",570712,BTSYSTK,B159B3524BFA1C0,,0,0,-0.0005,BTSYSTK,382.96,100,,382.9400024,382.9599915,382.9500122,0,382.9400024,382.9599915,3500,2900,0,382.9700012,382.9299927,382.9599915,382.9700012,382.9299927,382.9400024,382.9700012,382.9299927,0,0,OK,OK,0,0.53372,0,0,382.9700012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328271579865500,"2021-01-22 09:21:11",585080
798715161480260505,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480260496,,0,,,,,,,1055557743596388357,0,0,,B159B3524BFEB93,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524BFEB98,"[fill]: SIM/quote taker",Buy,New,None,1200,383.0166667,0,0,38800,None,Single,400,383.019989,"2021-01-22 09:11:47",75184,EDGX,EDGXSTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,383.0100098,383.019989,0,0,0.52033,0,383.0281982,0,None,0,Cover,-1324,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"2021-01-22 09:11:47",75184,3933361.6761986,"2021-01-22 09:11:47",75184,EDGXSTK,B159B3524BFEB98,,0,0,0.0027,EDGXSTK,383.02,400,,383.0100098,383.019989,383.0100098,0,383.0100098,383.019989,100,2000,0,382.8770142,382.8200073,382.8599854,382.8800049,382.8099976,382.8200073,382.8770142,382.8200073,0,0,OK,OK,0,0.5203,0,0,383.0281982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328307084973200,"2021-01-22 09:21:47",169538
798715161480280945,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480280936,,0,,,,,,,1055557743596388357,0,0,,B159B3524C03B6B,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524C03B70,"[fill]: SIM/quote taker",Buy,New,None,1300,383.0130769,0,0,38700,None,Single,200,382.9700012,"2021-01-22 09:12:22",888928,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,382.9599915,382.9700012,0,0,0.57017,0,382.980011,0,None,0,Cover,-924,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"2021-01-22 09:12:22",888928,3933397.4833081,"2021-01-22 09:12:22",888928,ARCASTK,B159B3524C03B70,,0,0,0.003,ARCASTK,382.97,100,,382.9599915,382.9700012,382.9649963,0,382.9599915,382.9700012,11900,100,0,382.8800049,382.6199951,382.8900146,382.8999939,382.6000061,382.6099854,382.8800049,382.6199951,0,0,OK,OK,0,0.59532,0,0,382.980011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328342892475600,"2021-01-22 09:22:22",972355
798715161480280969,1,Core,V7_Stable,Prod,NY4,Fill,Single,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480280959,,0,,,,,,,1055557743596388357,0,0,,B159B3524C03B83,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,B159B3524C03B88,"[fill]: SIM/quote taker",Buy,New,None,1400,383.01,0,0,38600,None,Single,200,382.9700012,"2021-01-22 09:12:22",888928,ARCA,ARCASTK,,No,None,ActiveTaker,ActiveTaker,TakeExch,None,Taker,0,0,382.9599915,382.9700012,0,0,0.59532,0,382.980011,0,None,0,Cover,-824,0,0,,DEMO,,ExchMrkt,None,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"2021-01-22 09:12:22",888928,3933397.4892268,"2021-01-22 09:12:22",888928,ARCASTK,B159B3524C03B88,,0,0,0.003,ARCASTK,382.97,100,,382.9599915,382.9700012,382.9649963,0,382.9599915,382.9700012,11900,100,0,382.8800049,382.6199951,382.8900146,382.8999939,382.6000061,382.6099854,382.8800049,382.6199951,0,0,OK,OK,0,0.59532,0,0,382.980011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,R,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328342898394200,"2021-01-22 09:22:22",972355
798715161480281087,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480280959,,0,,,,,,,1055557743596388357,0,0,,B159B3524C03B83,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,,"user cxl",Buy,New,None,1400,383.01,0,0,38600,None,Single,200,382.9700012,"2021-01-22 09:12:22",888928,ARCA,ARCASTK,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,0,0,382.9599915,382.9700012,0,0,0.59532,0,382.980011,0,None,0,Cover,-824,0,0,,DEMO,,ExchMrkt,Yes,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"1900-01-01 00:00:00",0,0,"2021-01-22 09:12:23",9039,,,,0,0,0,,382.9700012,0,,0,0,382.9649963,0,0,0,0,0,0,382.8800049,382.6199951,382.8900146,382.8999939,382.6000061,382.6099854,382.8800049,382.6199951,0,0,OK,OK,0,0.59625,0,0,382.980011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328343014331700,"2021-01-22 09:22:23",71451
798715161480281090,1,Core,V7_Stable,Prod,NY4,MktMiss,None,1055557743596388357,1055557743596388357,1,1055557743596388357,798715161480280936,,0,,,,,,,1055557743596388357,0,0,,B159B3524C03B6B,Cust,None,Single,EQT,NMS,SPY,2000,0,0,0,Call,Stock,EQT,NMS,SPY,T.SRDEMO003,DEMO,SpdrSingle,1055557743596388357,local.simulator,EE_S7_P_G,,None,$SIM,,,,None,,,,,,,"user cxl",Buy,New,None,1400,383.01,0,0,38600,None,Single,200,382.9700012,"2021-01-22 09:12:22",888928,ARCA,ARCASTK,,None,None,ActiveTaker,ActiveTaker,TakeExch,ChildFlashCxl,Taker,0,0,382.9599915,382.9700012,0,0,0.57017,0,382.980011,0,None,0,Cover,-924,0,0,,DEMO,,ExchMrkt,Yes,0,TAP:0.06,active.taker,Customer,T.SRDEMO003,,"1900-01-01 00:00:00",0,0,"2021-01-22 09:12:23",9039,,,,0,0,0,,382.9700012,0,,0,0,382.9649963,0,0,0,0,0,0,382.8800049,382.6199951,382.8900146,382.8999939,382.6000061,382.6099854,382.8800049,382.6199951,0,0,OK,OK,0,0.59625,0,0,382.980011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Equity,Alpha,,,,None,,$SIM,None,0,"2021-01-22 09:10:33",539810,40000,0,0,0,383.1000061,383.1099854,0,0,0,0,0,0,None,Auto,0,0,1,None,No,TwapAlpha,No,Day,ActiveTaker,PostLimit,Market,Probability,Immediate,None,Static,srdemo003,srdemo003,None,None,None,,1900,0,0,None,0,None,,,0,1,Equity,1,1,0.01,EQT,None,0,0,0,0,1611328343014754200,"2021-01-22 09:22:23",71451
